,TimeStamp,Title,Years of Experiences ,Salary,Date of Salary,What Is your Company,Work Type,Work Hour,City of Company site
945,2024-02-23 19:31:19.421000,Frontend developer,1,20000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
947,2024-02-23 19:42:05.675000,Dot Net Developer,1.3,12000,2024-02-27 00:00:00,Egyption,Remotley,Full Time,Cairo
950,2024-02-23 20:02:40.797000,Operation Analyst,4,12000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
951,2024-02-23 20:07:06.438000,Application Support linux and application functionality ,4,20,2024-01-25 00:00:00,Egyption,On Site,Full Time,Cairo
952,2024-02-23 20:08:32.637000,Front-end Engineer ,2,20000,2023-12-01 00:00:00,Egyption,Remotley,Full Time,"Cairo, Zamalic"
953,2024-02-23 20:12:32.088000,Sales,12,10000,2024-02-25 00:00:00,Egyption,On Site,Full Time,Cairo
954,2024-02-23 20:23:31.953000,Team Lead,7,51000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,"cairo, riyadh"
955,2024-02-23 20:27:02.795000,Full stack .NET developer,1,12000,2024-01-30 00:00:00,Egyption,Remotley,Full Time,Kuwait
956,2024-02-23 20:33:26.449000,Flutter Developer,3 Months,8000,2024-02-28 00:00:00,Egyption,On Site,Full Time,Mansoura
958,2024-02-23 20:40:16.910000,Data Engineer,1.5,22000,2024-02-28 00:00:00,Egyption,Hybird,Full Time,Cairo
959,2024-02-23 20:45:50.888000,Sales man in an electrical appliances store ,3,7000,2023-12-31 00:00:00,Egyption,On Site,Full Time,Cairo 
961,2024-02-23 21:02:46.219000,Senior Application support,16,30000,2024-02-23 00:00:00,Egyption,On Site,Full Time,
963,2024-02-23 21:24:52.183000,Full Stack Developer ,0.5 years,14000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,Cairo
964,2024-02-23 21:34:07.614000,Interior designer ,2,3000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Damanhour 
965,2024-02-23 21:46:10.223000,Data Analyst,Na,Na,2024-02-23 00:00:00,Na,Hybird,Full Time,
966,2024-02-23 21:52:29.736000,Odoo Implementer,One year ,10000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo 
967,2024-02-23 21:52:38.637000,Senior Data Analyst,4.5,33K,1998-01-02 00:00:00,Egyption,Hybird,Full Time,Cairo
968,2024-02-23 21:53:21.513000,PHP Developer,2,29000,2023-02-01 00:00:00,Egyption,On Site,Full Time,cairo
969,2024-02-23 22:08:52.274000,Customer service manager ,4,9000,2024-01-01 00:00:00,Egyption,Full tome,Full Time,Tanta
970,2024-02-23 22:08:57.529000,graphic designer ,4,5000,2023-01-30 00:00:00,Egyption,On Site,Full Time,alexandria
972,2024-02-23 22:27:16.033000,Engineering manager ,5,800 usd,2024-02-23 00:00:00,Egyption,Remotley,10 hours per week ,
973,2024-02-23 22:39:48.560000,Frontend Engineer ,4,50000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo 
976,2024-02-23 22:51:04.686000,Cyber security engineer ,4 months,25000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,
977,2024-02-23 22:52:22.259000,Integration Specialist ,1 year and 3 months ,8000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
979,2024-02-23 23:08:51.492000,PHP&mySQL,1,2000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Beni-suef 
980,2024-02-23 23:21:16.540000,Sales specialist ,1,3000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
981,2024-02-23 23:28:47.109000,Devops ,1,24,2024-02-29 00:00:00,Egyption,Remotley,Full Time,Cairo
982,2024-02-23 23:36:02.176000,Data Analyst,1,500 USD,2024-02-23 00:00:00,Egyption,On Site,Full Time,Saudi Arabia
983,2024-02-23 23:38:16.516000,C++ developer ,0,20000,2024-02-23 00:00:00,Egyption,On Site,Full Time,Cairo
984,2024-02-23 23:41:14.468000,Software Engineer ,2,15000,2023-05-01 00:00:00,Egyption,Hybird,Full Time,Cairo
985,2024-02-23 23:49:18.772000,Coding Instructor,0,6600,2024-02-23 00:00:00,Egyption,Remotley,Part Time,Cairo
986,2024-02-24 00:02:04.838000,.Net developer ,2,15000,2023-05-01 00:00:00,Egyption,Hybird,Full Time,
987,2024-02-24 00:03:10.306000,Full Stack Developer,6,30000,2024-01-02 00:00:00,Egyption,Remotley,Part Time,
988,2024-02-24 00:16:24.020000,.net developer,1,17000 gross,2024-01-27 00:00:00,Egyption,Hybird,Full Time,Cairo 
989,2024-02-24 00:18:08.965000,Architect ,1 year ,8800,2024-02-24 00:00:00,Egyption,On Site,Full Time,Cairo 
991,2024-02-24 00:40:01.340000,Full Stack Web Developer ,Less than 1 ,8000,2023-11-14 00:00:00,Egyption,Hybird,Full Time,Cairo 
993,2024-02-24 00:57:56.546000,data scientist,0,20000,2024-01-23 00:00:00,Egyption,Remotley,Full Time,cairo
994,2024-02-24 01:00:50.019000,اخصائي مساحة,3,6000,2020-10-05 00:00:00,Egyption,Remotley,Full Time,
996,2024-02-24 01:11:01.646000,Architect,4,22,2024-02-24 00:00:00,Egyption,On Site,Full Time,Cairo
998,2024-02-24 01:21:31.863000,Application Support Engineer,4,30000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo 
999,2024-02-24 01:36:01.715000,Frontend Developer ,1,15400,2024-02-04 00:00:00,Egyption,Hybird,Full Time,Cairo
1000,2024-02-24 01:36:15.267000,Full Stack Developer ,3,60000,2024-02-20 00:00:00,Egyption,On Site,Full Time,cairo
1002,2024-02-24 01:54:54.943000,Data Analyst,1,13000,2024-02-24 00:00:00,Egyption,Hybird,Full Time,Cairo
1004,2024-02-24 02:01:34.188000,Quality assurance especialist,2,4500,2023-10-01 00:00:00,Egyption,On Site,Full Time,Cairo
1006,2024-02-24 02:32:05.174000,Electrical engineer,3,6000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Mahlla
1007,2024-02-24 02:32:51.905000,Data scientist ,2,35000 net,2024-02-24 00:00:00,Egyption,Hybird,Full Time,Cairo
1009,2024-02-24 02:36:43.087000,Senior application support ,4,"27,500 Net ",2023-01-02 00:00:00,Egyption,On Site,Full Time,Nasr city 
1010,2024-02-24 03:01:09.623000,Copy writer ,3,3000,2023-11-01 00:00:00,Egyption,On Site,Full Time,Mansoura 
1011,2024-02-24 03:22:46.259000,Senior Graphic Designer ,3,15000,2024-02-24 00:00:00,Egyption,On Site,Full Time,Cairo
1012,2024-02-24 04:30:27.231000,Sr. RPA Developer,4,29500,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Giza
1016,2024-02-24 05:07:50.029000,Sales,10,50000,2024-03-02 00:00:00,Egyption,Hybird,Full Time,Cairo 
1017,2024-02-24 05:08:24.112000,Backend Developer,5,36000,2023-03-01 00:00:00,Egyption,Remotley,Full Time,Cairo
1018,2024-02-24 05:41:47.723000,Sr. Technical Support (NOC Specialist),3,Net: 16k,2024-01-29 00:00:00,Egyption,Hybird,Full Time,Cairo
1019,2024-02-24 06:17:32.548000,PHP Developer ,3.5,28000,2024-03-01 00:00:00,Egyption,On Site,Full Time,Cairo 
1020,2024-02-24 07:02:13.424000,Oil and gas construction engineer,16,25000,2008-03-18 00:00:00,Egyption,On Site,Full Time,Cairo
1021,2024-02-24 07:20:47.032000,ظابط بالقوات المسلحة,4,12000,2020-12-15 00:00:00,Egyption,On Site,Full Time,Elbehaira
1023,2024-02-24 08:06:02.326000,Graphic designer ,9,10000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Portsaid 
1024,2024-02-24 08:14:24.592000,Site civil engineer,3,7000,2024-02-24 00:00:00,Egyption,On Site,Full Time,Cairo 
1025,2024-02-24 09:23:19.044000,Ux ui designer,2,9000,2024-02-24 00:00:00,Egyption,On Site,Full Time,Alexandria
1026,2024-02-24 09:32:06.493000,Pr,2,4000,2024-02-24 00:00:00,Egyption,On Site,Full Time,Damietta
1027,2024-02-24 09:41:16.271000,PHP Developer,10,100000,2050-12-20 00:00:00,Egyption,On Site,Full Time,El Doqy
1028,2024-02-24 09:47:10.015000,Accountant ,1,6500,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
1029,2024-02-24 09:54:43.115000,PHP Back End Developer,5,48,2023-11-22 00:00:00,Egyption,Remotley,Part Time,Cairo
1030,2024-02-24 09:59:02.398000,Software test engineer ,4,30,2024-01-28 00:00:00,Egyption,Hybird,Full Time,Cairo
1031,2024-02-24 10:00:56.492000,Sr. applications support ,10,50000 gross,2024-02-24 00:00:00,Egyption,On Site,Full Time,Cairo
1032,2024-02-24 10:20:44.842000,Business Intelligence Engineer,1,28000,2024-02-24 00:00:00,Egyption,Hybird,Full Time,Cairo
1033,2024-02-24 10:39:56.467000,Android developer,4,30000,2023-06-01 00:00:00,Egyption,Hybird,Full Time,
1034,2024-02-24 10:40:00.255000,Drilling engineer,5,50,2024-01-01 00:00:00,Egyption,On Site,Full Time,Field
1036,2024-02-24 10:54:58.591000,Hr business partner ,5,12k,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo 
1038,2024-02-24 11:04:59.463000,Pharmacist,0,4400,2024-02-06 00:00:00,Egyption,On Site,Full Time,Ismailia
1039,2024-02-24 11:20:59.158000,مدينة العبور _ القاهرة,10,3500,2023-12-31 00:00:00,Egyption,On Site,Full Time,مدينه العبور _ القاهرة _ مصر 
1040,2024-02-24 11:34:33.969000,HR Section Head,4,14500,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
1041,2024-02-24 11:40:24.109000,"Software developer - spring boot , angular",1,15600,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1042,2024-02-24 11:44:38.542000,Cable Testing engineer ,2,10000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Giza
1043,2024-02-24 11:52:59.997000,Network engineer,3,17000,2024-02-29 00:00:00,Egyption,Remotley,Full Time,Cairo
1045,2024-02-24 12:11:57.732000,Senior motion graphic designer,4 years,"20,000LE",2024-01-28 00:00:00,Egyption,Remotley,Full Time,Cairo
1046,2024-02-24 12:14:02.964000,Senior Data Analyst,5,23000,2024-02-28 00:00:00,Egyption,On Site,Full Time,Giza
1047,2024-02-24 12:15:54.234000,Frontend developer ReactJS ,1.5,24000,2024-02-24 00:00:00,Egyption,Hybird,Full Time,Giza
1048,2024-02-24 12:16:44.303000,Data analyst Senior Specialist ,3,16000,2024-02-24 00:00:00,Egyption,Hybird,Full Time,Giza
1050,2024-02-24 12:32:37.287000,Frontend developer,2,15k,2024-02-24 00:00:00,Egyption,Hybird,Full Time,Cairo
1051,2024-02-24 13:01:21.478000,Javascript developer,1,20000,2023-10-01 00:00:00,Egyption,On Site,Full Time,Cairo
1053,2024-02-24 13:26:41.479000,Pharmacist ,1 year,6000,2024-02-29 00:00:00,Egyption,On Site,Full Time,Giza
1054,2024-02-24 13:29:24.974000,Graphic Designer ,2,9000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
1056,2024-02-24 14:25:40.881000,Machine learning engineer,3,35000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,
1058,2024-02-24 14:39:48.206000,UI UX designer ,1,7000,2024-03-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1061,2024-02-24 15:35:50.804000,Graphic designer,1,3500,2024-02-24 00:00:00,Egyption,On Site,Full Time,Cairo
1062,2024-02-24 15:45:54.657000,Software testing team lead ,10,50000,2/20/0001,Egyption,On Site,Full Time,
1064,2024-02-24 15:46:29.075000,Junior front end developer ,0,700,2024-02-25 00:00:00,Egyption,On Site,Full Time,Alexandria 
1065,2024-02-24 16:02:46.934000,Django developer,0-1,8000,2024-02-24 00:00:00,Egyption,Hybird,Full Time,Cairo
1066,2024-02-24 16:07:18.851000,Technical Engineer,2,9500,2023-12-25 00:00:00,Egyption,Hybird,Full Time,Cairo
1067,2024-02-24 16:41:15.756000,Fullstack Developer (laravel & flutter),1.2,11000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1068,2024-02-24 16:47:58.519000,flutter developer ,3,27500,2024-01-01 00:00:00,Egyption,Hybird,Full Time,cairo
1069,2024-02-24 16:52:43,Backend developer,1,10,2025-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
1070,2024-02-24 17:02:17.234000,Junior developer .net,1,27000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo smart village
1072,2024-02-24 18:24:30.104000,Data Analytics Engineer ,1,23000,2024-02-24 00:00:00,Egyption,Hybird,Full Time,Cairo 
1073,2024-02-24 18:24:44.317000,It help desk,1,7000,2024-01-27 00:00:00,Egyption,On Site,Full Time,Cairo
1074,2024-02-24 18:26:03.377000,Physical Therapist ,2,1400,2024-02-24 00:00:00,Egyption,On Site,Full Time,El Mansoura 
1077,2024-02-24 19:39:13.647000,Senior interior designer ,4 years,18k,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
1079,2024-02-24 20:11:25.401000,Flutter Developer ,3,25000,2024-02-19 00:00:00,Egyption,Remotley,Full Time,Cairo 
1080,2024-02-24 20:17:15.111000,Flutter developer,2,400 usd,1998-04-21 00:00:00,Egyption,Remotley,Full Time,Canada and Iraq
1082,2024-02-24 20:33:05.279000,tester,>1,5000,2023-11-01 00:00:00,Egyption,Remotley,Full Time,cairo
1085,2024-02-24 22:24:07.647000,Full stack web developer . Net & angular ,2.6,23500,2024-01-01 00:00:00,Egyption,On Site,Full Time,Maadi 
1086,2024-02-24 22:43:51.338000,Business Analyst,0,8000,2024-02-24 00:00:00,Egyption,On Site,Full Time,Cairo
1087,2024-02-25 00:03:53.853000,Full Stack .Net Developer,3,2000$ dollar,2024-02-10 00:00:00,Egyption,Remotley,Full Time,UK
1088,2024-02-25 00:12:42.484000,Machine learning engineer,1,10000,2024-02-24 00:00:00,Egyption,On Site,Full Time,Cairo
1089,2024-02-25 00:50:45.055000,System administrator,1,8000,2024-02-25 00:00:00,Egyption,On Site,Full Time,Cairo
1091,2024-02-25 01:40:18.045000,DevOps engineer ,8 months,15000,2024-02-25 00:00:00,Egyption,Hybird,Full Time,
1092,2024-02-25 05:29:37.929000,Data Analyst,2,0,2024-02-25 00:00:00,Not Work ,Remotley,Full Time,
1093,2024-02-25 06:31:43.384000,Business Intelligence Specialist ,1,13700,2023-10-01 00:00:00,Egyption,On Site,Full Time,"Alexandria, Egypt"
1094,2024-02-25 10:08:14.592000,. Net Developer ,2,13500,2024-01-29 00:00:00,Egyption,Remotley,Full Time,
1095,2024-02-25 10:51:40.273000,Digital marketing specialist,5,20000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Giza
1096,2024-02-25 11:21:09.906000,Php developer ,4,19000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo 
1098,2024-02-25 12:43:16.958000,Backed developer c sharp,3,12000,2024-03-05 00:00:00,Egyption,Remotley,Full Time,Cairo 
1099,2024-02-25 12:51:24.811000,Front-end Developer,7,30000,2023-08-28 00:00:00,Egyption,Hybird,Full Time,Giza
1101,2024-02-25 13:28:38.863000,Web GIS developer,3,13800,2023-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1102,2024-02-25 13:54:37.878000,Software engineer ,2,16000,2024-02-25 00:00:00,Egyption,On Site,Full Time,Cairo
1104,2024-02-25 18:27:17.052000,Flutter Developer ,4,18000,1999-12-13 00:00:00,Egyption,On Site,Full Time,
1105,2024-02-25 18:29:40.682000,Graphic designer ,6 months ,1000 AED ,2024-01-15 00:00:00,Dubai ,Remotley,Full Time,Dubai 
1107,2024-02-25 19:09:10.740000,Back end laravel ,Less than 1 ,5000,2024-02-29 00:00:00,Egyption,On Site,Full Time,Mansoura 
1109,2024-02-25 23:27:35.660000,.NET Developer,0,7000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1110,2024-02-25 23:32:14.766000,Frontend developer ,4 months,9k egp,1998-02-25 00:00:00,Egyption,Remotley,Full Time,
1113,2024-02-26 03:33:42.059000,.net developer,1,12k egp,2024-02-26 00:00:00,Egyption,On Site,Full Time,Cairo
1114,2024-02-26 04:31:12.117000,Flutter Developer,1+,8000,2024-02-26 00:00:00,Egyption,Remotley,Full Time,Tanta
1115,2024-02-26 05:47:36.076000,Senior sales ,11,10000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1116,2024-02-26 06:37:36.544000,SENIOR CYBER THREAT ANALYST ,22,11800 USD,2024-02-26 00:00:00,Egyption,Remotley,Full Time,USD - EUROPE
1117,2024-02-26 07:11:10.724000,Php laravel developer,1,11000,2024-02-26 00:00:00,Egyption,Remotley,Full Time,Cairo
1118,2024-02-26 07:12:38.612000,Front End Developer React,1,9k,2024-01-02 00:00:00,Egyption,On Site,Full Time,cairo
1119,2024-02-26 07:17:38.328000,Data Engineer,3,25000,2023-10-20 00:00:00,Egyption,Hybird,Full Time,Cairo
1120,2024-02-26 08:27:09.067000,performance analyst,3 months,11500,2024-02-25 00:00:00,Egyption,On Site,Full Time,smart village
1121,2024-02-26 09:04:25.666000,Business analysis,6 months,5000,2024-03-05 00:00:00,Egyption,On Site,Full Time,Mansoura
1122,2024-02-26 09:11:29.827000,Full stack .net developer ,0.5,11000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
1124,2024-02-26 10:07:49.239000,Odoo Developer,1,17000,2024-02-26 00:00:00,Egyption,On Site,Full Time,5th settelment
1129,2024-02-26 11:14:47.380000,Odoo Developer ,1,11000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
1130,2024-02-26 11:28:17.031000,Data annotation team leader ,6,32000,2024-02-20 00:00:00,Egyption,Hybird,Full Time,
1132,2024-02-26 11:34:34.139000,Data scientist ,1.5 years,13.5 k net,2024-01-28 00:00:00,Egyption,Hybird,Full Time,Giza
1133,2024-02-26 12:19:09.933000,Business development manager ,6,15000,2024-02-26 00:00:00,Egyption,On Site,Full Time,Cairo
1135,2024-02-26 12:43:05.359000, Senior Product Marketing,3,14000,2024-02-26 00:00:00,Egyption,On Site,Full Time,Cairo
1138,2024-02-26 13:00:11.040000,Data engineer ,3,30000,2023-03-19 00:00:00,Egyption,On Site,Full Time,Cairo
1140,2024-02-26 13:05:01.103000,Senior Data Scientist,4,80000,2024-02-26 00:00:00,Egyption,Remotley,Full Time,Cairo
1141,2024-02-26 13:15:27.769000,Mid level .net developer,2,20000,2024-02-26 00:00:00,Egyption,Hybird,Full Time,Cairo
1142,2024-02-26 13:24:02.826000,Junior Product owner,2,14000 net,2012-02-26 00:00:00,Egyption,On Site,Full Time,Cairo
1145,2024-02-26 13:41:15.586000,Cost accountant,2,6000,2024-02-28 00:00:00,Egyption,On Site,Full Time,6 October 
1148,2024-02-26 15:05:04.812000,senior frontend engineer,6,110000,2024-01-31 00:00:00,Egyption,On Site,Full Time,Cairo
1152,2024-02-26 16:50:48.220000,Data Scientist,3,19000,2023-02-26 00:00:00,Egyption,Hybird,Full Time,cairo
1153,2024-02-26 16:51:03.349000,.net (desktop developer),2,net salary  15000,2024-01-30 00:00:00,Egyption,On Site,Full Time,Cairo
1154,2024-02-26 17:19:16.454000,Flutter Developer,3,2000 USD,2023-01-26 00:00:00,Egyption,Remotley,Full Time,
1156,2024-02-26 17:25:04.613000,Data Scientist,3,40000,2023-11-01 00:00:00,Egyption,Hybird,Full Time,cairo
1157,2024-02-26 17:33:44.476000,Software Developer ,2 months,12000,2023-12-17 00:00:00,Egyption,Hybird,Full Time,Cairo
1162,2024-02-26 18:32:38.923000,Backend Engineer,2,30k,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo 
1163,2024-02-26 18:34:08.685000,Full stack javascript developer ,+1.5,8000,2024-02-26 00:00:00,Egyption,Hybird,Full Time,Mansoura
1165,2024-02-26 18:50:37.796000,Frontend Developer,3,68000,2024-02-26 00:00:00,Egyption,Hybird,Full Time,"Cairo, Nasr city"
1168,2024-02-26 19:17:02.886000,Typist ,2,3300,2022-03-21 00:00:00,Egyption,On Site,Full Time,Cairo
1170,2024-02-26 19:41:06.997000,Senior software quality control engineer,5,29000,2024-02-26 00:00:00,Egyption,Hybird,Full Time,Giza
1172,2024-02-26 20:15:42.761000,Data Engineer ,0,25000,2024-02-28 00:00:00,Egyption,Hybird,Full Time,Cairo 
1173,2024-02-26 20:48:14.111000,UI/UX Designer,2,7000,2023-12-01 00:00:00,Egyption,Remotley,Full Time,Remotely
1174,2024-02-26 21:16:30.052000,It help desk ,0,6000,2024-02-26 00:00:00,Egyption,On Site,Full Time,Giza
1175,2024-02-26 22:57:43.851000,MEARN STACK -Front end Developer ,1,8000,2024-02-29 00:00:00,Egyption,On Site,Full Time,Aswan
1176,2024-02-26 23:24:34.618000,Senior software engineer,4-5,80000,2024-02-01 00:00:00,Egyption,On Site,Full Time,cairo
1177,2024-02-26 23:40:21.651000,Desktop app developer.Net,6,8000$,2024-02-26 00:00:00,Egyption,Remotley,Full Time,USA 
1181,2024-02-27 08:09:45.163000,Performance Analyst,2,21000,2024-02-28 00:00:00,Egyption,Hybird,Full Time,Giza
1182,2024-02-27 08:19:45.277000,UI UX Designer,2,8000,2022-01-01 00:00:00,Egyption,On Site,Full Time,cairo
1185,2024-02-27 09:30:16.651000,Flutter developer ,One ,5000,2023-02-01 00:00:00,Egyption,On Site,Full Time,Mansoura/dakahlia
1186,2024-02-27 09:32:10.210000,Teamlead backend developer PHP,3,15000,2023-10-01 00:00:00,Egyption,On Site,Full Time,Mansoura
1187,2024-02-27 09:47:15.918000,Software Engineer,6,2700 Euro,2024-01-29 00:00:00,Egyption,Remotley,Full Time,Hong Kong
1188,2024-02-27 09:47:17.452000,Customer service officer ,1,4500,2023-09-01 00:00:00,Egyption,On Site,Full Time,cairo
1189,2024-02-27 09:55:52.795000,RPA Developer ,Less than 1 year,12000,2024-02-27 00:00:00,Egyption,Remotley,Full Time,Smart Village 
1192,2024-02-27 11:43:36.432000,Flutter developer,1,8000,2024-01-01 00:00:00,Egyption,On Site,Full Time,
1194,2024-02-27 13:04:13.091000,Junior PHP Developer,0,9500,2023-10-15 00:00:00,Egyption,Hybird,Part Time,"5th Settlement, new cairo"
1195,2024-02-27 13:48:45.212000,AI engineer ,1,12000 EGP,2023-02-27 00:00:00,Egyption,Hybird,Full Time,Giza
1196,2024-02-27 13:54:47.854000,Angular developer ,2,23000,2024-02-29 00:00:00,Egyption,Hybird,Full Time,Cairo 
1197,2024-02-27 14:12:04.992000,Supply chain analyst ,1.5,8240,2024-02-25 00:00:00,Egyption,On Site,Full Time,Cairo
1200,2024-02-27 14:18:08.015000,IT Security Engineer ,1,20000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
1201,2024-02-27 14:39:24.792000,Sales Data Analyst,1.5,8500,2024-02-27 00:00:00,Egyption,On Site,Full Time,Mansoura
1202,2024-02-27 14:40:54.394000,Data analytics ,0,8000,2024-02-19 00:00:00,Egyption,On Site,Full Time,Cairo
1205,2024-02-27 14:47:29.233000,Quality Assurance Senior Specialist,5,18000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
1206,2024-02-27 14:52:28.195000,Warehouse Supervisor ,+5,13500,2024-02-27 00:00:00,Egyption,On Site,Full Time,Cairo 
1207,2024-02-27 14:55:59.082000,سيلز ,4,4000,2023-03-10 00:00:00,Egyption,On Site,Full Time,القاهرة 
1208,2024-02-27 14:56:01.507000,Marketing Director,15,60,2024-02-27 00:00:00,Egyption,On Site,Full Time,Cairo
1211,2024-02-27 15:32:09.330000,Data analysis ,2,5000,2022-12-13 00:00:00,Egyption,Remotley,Full Time,Cairo
1212,2024-02-27 15:38:44.493000,Data Analyst ,2,"10,000 k",2024-02-27 00:00:00,Egyption,On Site,Full Time,Sharkia
1214,2024-02-27 15:51:06.942000,Bi Developer ,2,16000,2023-09-28 00:00:00,Egyption,Hybird,Full Time,Giza
1215,2024-02-27 15:51:36.093000,Customer Service Representative ,7,7000,2024-02-27 00:00:00,Egyption,On Site,Full Time,Cairo 
1217,2024-02-27 16:05:21.518000,Internal audit,1,6500,1998-12-26 00:00:00,Egyption,On Site,Full Time,Giza
1218,2024-02-27 16:09:55.795000,Senior Application Engineer,10,65000 EGP,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Maadi - Egypt
1219,2024-02-27 16:15:43.649000,Service desk agent,1,14000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1220,2024-02-27 16:29:20.232000,NLP Engineer,1,16000,2024-02-27 00:00:00,Egyption,Hybird,Full Time,cairo
1221,2024-02-27 17:23:25.059000,Clinical pharmacist ,3,8500,2024-02-01 00:00:00,Egyption,On Site,Full Time,Cairo
1223,2024-02-27 17:35:14.298000,graphic designer ,1,6500,2023-09-01 00:00:00,Egyption,On Site,Full Time,cairo
1224,2024-02-27 17:36:22.063000,Sales ,1,4000,2024-02-27 00:00:00,Egyption,On Site,Full Time,Hurghada 
1226,2024-02-27 19:16:11.021000,Odoo implementer,1,15000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Cairo
1228,2024-02-27 19:42:33.045000,Flutter Developer ,1,5000,2023-08-15 00:00:00,Egyption,Hybird,Full Time,Mansoura 
1229,2024-02-27 20:22:09.067000,Full Stack Web Developer,8,7000,2024-02-27 00:00:00,Egyption,Remotley,Full Time,Alex + Cairo
1230,2024-02-27 20:23:32.111000,System Administrator,2,5000,2024-02-27 00:00:00,Egyption,Remotley,Full Time,Cairo
1231,2024-02-27 20:33:07.031000,DBA ,1.5,16,2024-02-01 00:00:00,Egyption,On Site,Full Time,
1232,2024-02-27 20:50:54.749000,Product specialist (medical sales),2,12000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,"Cairo, Zagazig "
1234,2024-02-27 21:13:47.946000,Frontend,2.5,35000,2021-01-02 00:00:00,Egyption,Hybird,Full Time,Cairo
1235,2024-02-27 21:14:41.127000,Graphic designer ,0,10,2024-02-27 00:00:00,Egyption,On Site,Full Time,Alexandria
1236,2024-02-27 21:34:20.676000,Full stack web developer ,6 months,8000,2024-02-27 00:00:00,Egyption,Hybird,Full Time,Mansaura
1238,2024-02-27 21:36:58.323000,Full stack developer python ,1,8000,2024-02-27 00:00:00,Egyption,Remotley,Full Time,Cairo
1239,2024-02-27 21:56:57.351000,Sales Analyst,2,7.5K,1998-11-08 00:00:00,Egyption,Hybird,Full Time,"Cairo, Maadi"
1240,2024-02-27 23:22:24.266000,Odoo,7 months ,10000,2024-03-01 00:00:00,Egyption,Hybird,Full Time,
1241,2024-02-27 23:32:20.738000,React.js developer,0.5,8000,2024-01-28 00:00:00,Egyption,On Site,Part Time,Alexandria
1242,2024-02-27 23:51:15.933000,Fullstack intern - Java & Angular,0.5,12000,2024-02-25 00:00:00,Egyptian but recently a Saudi company acquired 90% of it,Remotley,Full Time,
1243,2024-02-28 01:20:55.077000,Data analyst,2,10000,2024-02-25 00:00:00,Egyption,On Site,Full Time,Cairo
1244,2024-02-28 02:08:45.457000,Senior Software Developer php,3,17000,2024-02-26 00:00:00,Egyption,On Site,Full Time,Cairo
1245,2024-02-28 05:50:09.477000,java developer,0,12000,2024-02-28 00:00:00,Egyption,On Site,Full Time,cairo
1247,2024-02-28 07:08:04.764000,(AKA) DevOps Engineer,2,7000,2024-02-01 00:00:00,Egyption,On Site,Full Time,Giza
1248,2024-02-28 07:46:15.638000,.Net developer,3 - 4,32k,2034-03-01 00:00:00,Egyption,Hybird,Full Time,Cairo 
1249,2024-02-28 08:24:36.965000,Django developer ,4,45k,2024-02-18 00:00:00,Egyption,Hybird,Full Time,Cairo
1250,2024-02-28 09:16:14.544000,Sales coordinator ,0,11,2023-11-01 00:00:00,Egyption,On Site,Full Time,Cairo
1251,2024-02-28 09:25:48.323000,Data analyst,2,10700 Net,2024-01-01 00:00:00,Egyption,On Site,Full Time,Giza
